"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","delete element on checklist","3","0","","0"
"0","","0","Move elements on checklist","3","0","","0"
"0","","0","Tutorial check","2","0","","0"
"0","","0","Delete checklist","3","0","","0"
"0","","0","Add calendar checklist","2","0","","0"
"0","","0","Add Notes","2","0","","0"
"0","","0","Sort Notes","3","0","","0"
"0","","0","Scroll Calendar to next month","3","0","","0"
"0","","0","Delete Notes","3","0","","0"
